Organisation,URL,Tech Stacks
Internet Archive,https://summerofcode.withgoogle.com/archive/2020/organizations/5652935767228416/,"['javascript', 'python']"

Matrix,https://summerofcode.withgoogle.com/archive/2020/organizations/6400769936326656/,"['python', 'javascript', 'rust', 'go', 'react']"

MGGG Redistricting Lab,https://summerofcode.withgoogle.com/archive/2020/organizations/4721222438354944/,"['python', 'javascript', 'gis', 'julia', 'mapping']"

Moira,https://summerofcode.withgoogle.com/archive/2020/organizations/5420871000260608/,"['golang', 'javascript', 'typescript', 'graphite', 'react']"

Mozilla,https://summerofcode.withgoogle.com/archive/2020/organizations/5169365365817344/,"['javascript', 'rust', 'html5', 'web development', 'python']"

Open Genome Informatics,https://summerofcode.withgoogle.com/archive/2020/organizations/5089985813807104/,"['neo4j', 'python', 'javascript', 'react', 'r-project']"

OpenAstronomy,https://summerofcode.withgoogle.com/archive/2020/organizations/4577601315667968/,"['python', 'julia', 'spark', 'numba', 'javascript']"

OpenEMR,https://summerofcode.withgoogle.com/archive/2020/organizations/6277255937916928/,"['php', 'mysql', 'javascript', 'docker', 'html']"

openSUSE Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5703501222510592/,"['linux', 'python', 'perl', 'rpm', 'javascript']"

OpenWISP,https://summerofcode.withgoogle.com/archive/2020/organizations/4717183558483968/,"['python', 'django', 'openwrt', 'javascript', 'lua']"

Orcasound,https://summerofcode.withgoogle.com/archive/2020/organizations/6216078121762816/,"['elixir', 'react', 'javascript', 'python', 'raspberry pi']"

Percona,https://summerofcode.withgoogle.com/archive/2020/organizations/5002697415065600/,"['javascript', 'shell script', 'golang', 'prometheus', 'grafana']"

Postman,https://summerofcode.withgoogle.com/archive/2020/organizations/5654790253576192/,"['node.js', 'javascript']"

Rocket.Chat,https://summerofcode.withgoogle.com/archive/2020/organizations/4707433043197952/,"['javascript', 'react', 'reactnative', 'chatbots', 'ruby']"

webpack,https://summerofcode.withgoogle.com/archive/2020/organizations/5144337383424000/,"['javascript', 'webpack']"

Wikimedia Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5593787323121664/,"['html', 'css', 'python', 'javascript', 'php']"

